A;B;D;R;Total
100,000000;0,000000;0,000000;0,000000;100,000000
0,968000;95,013000;4,019000;0,000000;100,000000
19,105000;62,660000;8,904000;9,331000;100,000000
12,822000;59,191000;13,341000;14,646000;100,000000
12,036000;51,296000;17,618000;19,050000;100,000000
10,471000;45,680000;21,571000;22,278000;100,000000
9,211000;40,817000;25,356000;24,616000;100,000000
8,188000;36,553000;28,963000;26,296000;100,000000
12,566000;25,427000;34,637000;27,370000;100,000000
13,298000;18,604000;41,004000;27,094000;100,000000
12,285000;14,208000;47,349000;26,158000;100,000000
10,874000;11,090000;53,050000;24,986000;100,000000
9,270000;9,026000;58,087000;23,617000;100,000000
7,833000;7,392000;62,590000;22,185000;100,000000
6,608000;6,333000;66,450000;20,609000;100,000000
5,548000;5,421000;69,845000;19,186000;100,000000
4,664000;4,694000;72,777000;17,865000;100,000000
3,970000;4,175000;75,358000;16,497000;100,000000
3,403000;3,763000;77,632000;15,202000;100,000000
2,905000;3,435000;79,619000;14,041000;100,000000
2,542000;3,028000;81,432000;12,998000;100,000000
2,302000;2,708000;83,047000;11,943000;100,000000
2,011000;2,557000;84,512000;10,920000;100,000000
1,859000;2,288000;85,753000;10,100000;100,000000
1,638000;2,156000;86,926000;9,280000;100,000000
1,467000;1,983000;88,038000;8,512000;100,000000
1,361000;1,806000;88,984000;7,849000;100,000000
1,259000;1,591000;89,905000;7,245000;100,000000
1,153000;1,420000;90,717000;6,710000;100,000000
1,044000;1,305000;91,456000;6,195000;100,000000
0,948000;1,241000;92,112000;5,699000;100,000000
0,847000;1,126000;92,765000;5,262000;100,000000
0,779000;1,052000;93,352000;4,817000;100,000000
0,733000;0,940000;93,861000;4,466000;100,000000
0,637000;0,882000;94,365000;4,116000;100,000000
0,608000;0,813000;94,788000;3,791000;100,000000
0,575000;0,756000;95,205000;3,464000;100,000000
0,538000;0,709000;95,580000;3,173000;100,000000
0,501000;0,653000;95,939000;2,907000;100,000000
0,468000;0,598000;96,265000;2,669000;100,000000
0,407000;0,557000;96,579000;2,457000;100,000000
0,371000;0,496000;96,865000;2,268000;100,000000
0,340000;0,458000;97,105000;2,097000;100,000000
0,304000;0,419000;97,333000;1,944000;100,000000
0,291000;0,379000;97,529000;1,801000;100,000000
0,256000;0,343000;97,740000;1,661000;100,000000
0,251000;0,333000;97,897000;1,519000;100,000000
0,219000;0,308000;98,065000;1,408000;100,000000
0,215000;0,263000;98,215000;1,307000;100,000000
0,197000;0,237000;98,351000;1,215000;100,000000
0,186000;0,220000;98,488000;1,106000;100,000000
0,177000;0,213000;98,596000;1,014000;100,000000
0,162000;0,198000;98,707000;0,933000;100,000000
0,147000;0,192000;98,812000;0,849000;100,000000
0,118000;0,182000;98,899000;0,801000;100,000000
0,113000;0,171000;98,987000;0,729000;100,000000
0,125000;0,133000;99,057000;0,685000;100,000000
0,102000;0,130000;99,134000;0,634000;100,000000
0,109000;0,109000;99,186000;0,596000;100,000000
0,102000;0,108000;99,248000;0,542000;100,000000
0,079000;0,101000;99,311000;0,509000;100,000000
0,061000;0,092000;99,365000;0,482000;100,000000
0,052000;0,096000;99,413000;0,439000;100,000000
0,047000;0,090000;99,452000;0,411000;100,000000
0,043000;0,087000;99,503000;0,367000;100,000000
