Date;Comment;Runs(n);MeanTime(s);VarianceTime;PeakMemory(MB)
26/04/2025;Benchmark uden print;100;1,915583;0,022274;4,988281
26/04/2025;benchmark med print;100;2,380454;0,047312;5,097656
27/04/2025;Array med print;100;2,218582;0,045414;5,082031
29/04/2025;DOP CHATGPT med print;100;1,406029;0,06838;98
02/05/2025;LUT med print;100;1,676404;0,044108;97,953125
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
2025-05-02;"Calc step on GPU med print";100;1,597457;0,146753;98,003906
2025-05-02;"1";1;2,258055;0,000000;97,882812
2025-05-02;"1";1;29,194362;0,000000;100,773438
2025-05-02;"1";1;2,006188;0,000000;97,878906
2025-05-02;"Test";10;1,730681;0,095735;184,417969
